metric,PVI,pvi_range,Wave,bin_prob,prob_GOP_all,logit_all
0.82,R+32,R+21+,Democratic,1,1,0.9994
0.83,R+33,R+21+,Democratic,1,1,0.9995
0.84,R+34,R+21+,Democratic,1,1,0.9996
0.85,R+35,R+21+,Democratic,1,1,0.9997
0.86,R+36,R+21+,Democratic,1,1,0.9998
0.87,R+37,R+21+,Democratic,1,1,0.9998
0.88,R+38,R+21+,Democratic,1,1,0.9999
0.89,R+39,R+21+,Democratic,1,1,0.9999
0.9,R+40,R+21+,Democratic,1,1,0.9999
0.91,R+41,R+21+,Democratic,1,1,0.9999
0.92,R+42,R+21+,Democratic,1,1,1
0.93,R+43,R+21+,Democratic,1,1,1
0.94,R+44,R+21+,Democratic,1,1,1
