ST,PVI,Share GOP,dist_loss_117,porp_loss_117,State,row,column,Population Excluded (117th),Districts Lost (117th),State Status (117th)
NC,R+3,0.53,-0.7676470696329112,-0.05904977458714701,North Carolina ,-5,9.0,"6% Excluded, Against Dems",0.77 Dem Districts Lost,Multi-District
ND,R+20,0.7,-0.2535087719298246,-0.2535087719298246,North Dakota ,-2,3.5,"25% Excluded, Against Dems",0.25 Dem Districts Lost,Single District
OH,R+6,0.56,-2.3115955431306805,-0.14447472144566753,Ohio ,-3,8.0,"14% Excluded, Against Dems",2.31 Dem Districts Lost,Multi-District
OK,R+20,0.7,-1.2164098090530189,-0.24328196181060377,Oklahoma ,-6,4.5,"24% Excluded, Against Dems",1.22 Dem Districts Lost,Multi-District
OR,D+6,0.44,0.3070460395387009,0.06140920790774018,Oregon ,-4,1.5,"6% Excluded, Against GOP",0.31 GOP Districts Lost,Multi-District
PA,R+2,0.52,-0.6204972043225183,-0.03447206690680657,Pennsylvania,-3,9.0,"3% Excluded, Against Dems",0.62 Dem Districts Lost,Multi-District
RI,D+8,0.42,0.6480506117908788,0.3240253058954394,Rhode Island ,-2,11.5,"32% Excluded, Against GOP",0.65 GOP Districts Lost,Multi-District
SC,R+8,0.58,-1.5678767411217889,-0.223982391588827,South Carolina ,-6,8.5,"22% Excluded, Against Dems",1.57 Dem Districts Lost,Multi-District
SD,R+16,0.66,-0.2935087719298245,-0.2935087719298245,South Dakota ,-3,4.0,"28% Excluded, Against Dems",0.29 Dem Districts Lost,Single District
TN,R+14,0.64,-1.104975703998596,-0.12277507822206621,Tennessee ,-5,7.0,"12% Excluded, Against Dems",1.1 Dem Districts Lost,Multi-District
TX,R+5,0.55,-1.9981849387159976,-0.05550513718655549,Texas ,-7,4.0,"6% Excluded, Against Dems",2 Dem Districts Lost,Multi-District
UT,R+13,0.63,-1.149918580982844,-0.287479645245711,Utah ,-5,4.0,"28% Excluded, Against Dems",1.15 Dem Districts Lost,Multi-District
VT,D+15,0.35,0.34555061179087876,0.34555061179087876,Vermont ,-1,10.0,"35% Excluded, Against GOP",0.35 GOP Districts Lost,Single District
VA,D+2,0.48,0.3697637680902943,0.033614888008208575,Virginia ,-5,8.0,"3% Excluded, Against GOP",0.37 GOP Districts Lost,Multi-District
WA,D+8,0.42,0.9370412382994568,0.09370412382994568,Washington ,-2,1.5,"9% Excluded, Against GOP",0.94 GOP Districts Lost,Multi-District
WV,R+23,0.73,-0.7635087719298244,-0.2545029239766081,West Virginia ,-4,7.5,"25% Excluded, Against Dems",0.76 Dem Districts Lost,Multi-District
WI,R+2,0.52,-1.2613169550189838,-0.15766461937737297,Wisconsin ,-2,5.5,"16% Excluded, Against Dems",1.26 Dem Districts Lost,Multi-District
WY,R+26,0.76,-0.24,-0.24,Wyoming,-3,3.0,"24% Excluded, Against Dems",0.24 Dem Districts Lost,Single District
