State,District,PVI,"Party of
Representative"
Louisiana,5th,R+14,Republican
Louisiana,6th,R+10,Republican
Louisiana,7th,R+14,Republican
Maine,1st,D+8,Democratic
Maine,2nd,D+3,Democratic
Maryland,1st,R+13,Democratic
Maryland,2nd,D+7,Democratic
Maryland,3rd,D+6,Democratic
Maryland,4th,D+31,Democratic
Maryland,5th,D+11,Democratic
Maryland,6th,R+13,Republican
Maryland,7th,D+25,Democratic
Maryland,8th,D+21,Democratic
Massachusetts,1st,D+14,Democratic
Massachusetts,2nd,D+9,Democratic
Massachusetts,3rd,D+9,Democratic
Massachusetts,4th,D+14,Democratic
Massachusetts,5th,D+8,Democratic
Massachusetts,6th,D+7,Democratic
Massachusetts,7th,D+15,Democratic
Massachusetts,8th,D+32,Democratic
Massachusetts,9th,D+11,Democratic
Massachusetts,10th,D+5,Democratic
Michigan,1st,R+3,Democratic
Michigan,2nd,R+7,Republican
Michigan,3rd,R+6,Republican
Michigan,4th,R+3,Republican
Michigan,5th,D+11,Democratic
Michigan,6th,EVEN,Republican
Michigan,7th,R+2,Democratic
Michigan,8th,R+2,Republican
Michigan,9th,D+2,Democratic
Michigan,10th,R+5,Republican
Michigan,11th,EVEN,Republican
Michigan,12th,D+12,Democratic
Michigan,13th,D+31,Democratic
Michigan,14th,D+34,Democratic
Michigan,15th,D+13,Democratic
Minnesota,1st,R+1,Democratic
Minnesota,2nd,R+4,Republican
Minnesota,3rd,EVEN,Republican
Minnesota,4th,D+13,Democratic
Minnesota,5th,D+23,Democratic
Minnesota,6th,R+7,Republican
Minnesota,7th,R+5,Democratic
Minnesota,8th,D+3,Democratic
Mississippi,1st,R+14,Democratic
Mississippi,2nd,D+12,Democratic
Mississippi,3rd,R+15,Republican
Mississippi,4th,R+20,Democratic
Missouri,1st,D+27,Democratic
Missouri,2nd,R+9,Republican
Missouri,3rd,D+7,Democratic
Missouri,4th,R+14,Democratic
Missouri,5th,D+10,Democratic
Missouri,6th,R+7,Republican
Missouri,7th,R+17,Republican
Missouri,8th,R+15,Republican
Missouri,9th,R+9,Republican
Montana,At-large,R+7,Republican
Nebraska,1st,R+11,Republican
Nebraska,2nd,R+6,Republican
Nebraska,3rd,R+24,Republican
Nevada,1st,D+10,Democratic
Nevada,2nd,R+5,Republican
Nevada,3rd,D+2,Democratic
New Hampshire,1st,EVEN,Democratic
New Hampshire,2nd,D+3,Democratic
New Jersey,1st,D+12,Democratic
New Jersey,2nd,D+1,Republican
New Jersey,3rd,R+1,Democratic
New Jersey,4th,R+6,Republican
New Jersey,5th,R+7,Republican
New Jersey,6th,D+8,Democratic
New Jersey,7th,R+3,Republican
New Jersey,8th,D+10,Democratic
New Jersey,9th,D+9,Democratic
New Jersey,10th,D+33,Democratic
New Jersey,11th,R+7,Republican
New Jersey,12th,D+5,Democratic
New Jersey,13th,D+21,Democratic
New Mexico,1st,D+5,Democratic
New Mexico,2nd,R+6,Democratic
New Mexico,3rd,D+7,Democratic
New York,1st,EVEN,Democratic
New York,2nd,D+4,Democratic
New York,3rd,R+4,Republican
New York,4th,D+6,Democratic
New York,5th,D+12,Democratic
New York,6th,D+36,Democratic
New York,7th,D+26,Democratic
New York,8th,D+22,Democratic
New York,9th,D+5,Democratic
New York,10th,D+38,Democratic
New York,11th,D+38,Democratic
New York,12th,D+33,Democratic
New York,13th,R+4,Democratic
New York,14th,D+26,Democratic
New York,15th,D+41,Democratic
New York,16th,D+41,Democratic
New York,17th,D+18,Democratic
New York,18th,D+9,Democratic
New York,19th,R+3,Democratic
New York,20th,R+2,Democratic
New York,21st,D+6,Democratic
New York,22nd,D+6,Democratic
New York,23rd,R+1,Democratic
New York,24th,R+2,Democratic
New York,25th,D+3,Democratic
New York,26th,R+6,Republican
New York,27th,D+4,Democratic
New York,28th,D+15,Democratic
New York,29th,R+5,Democratic
North Carolina,1st,D+9,Democratic
North Carolina,2nd,R+2,Democratic
North Carolina,3rd,R+16,Republican
North Carolina,4th,D+8,Democratic
North Carolina,5th,R+15,Republican
North Carolina,6th,R+18,Republican
North Carolina,7th,R+5,Democratic
North Carolina,8th,R+2,Democratic
North Carolina,9th,R+11,Republican
North Carolina,10th,R+17,Republican
North Carolina,11th,R+6,Democratic
North Carolina,12th,D+16,Democratic
North Carolina,13th,D+5,Democratic
North Dakota,At-large,R+10,Democratic
Ohio,1st,D+1,Democratic
Ohio,2nd,R+13,Republican
Ohio,3rd,R+5,Republican
Ohio,4th,R+15,Republican
Ohio,5th,R+9,Republican
Ohio,6th,R+2,Democratic
Ohio,7th,R+7,Republican
