state,map,district,metric,value,map_approved
AL,plaintiffs_plan_c,06,vap_race_asian,1.69,False
AL,plaintiffs_plan_c,06,vap_race_other,3.51,False
AL,plaintiffs_plan_c,07,competitive,0.0,False
AL,plaintiffs_plan_c,07,pvi,24.2539782786801,False
AL,plaintiffs_plan_c,07,vap_race_white,40.04,False
AL,plaintiffs_plan_c,07,vap_race_black,52.3,False
AL,plaintiffs_plan_c,07,vap_race_hispanic,4.01,False
AL,plaintiffs_plan_c,07,vap_race_asian,1.07,False
AL,plaintiffs_plan_c,07,vap_race_other,2.58,False
AL,plaintiffs_plan_c,statewide,efficiency_gap,3.46041616625299,False
AL,plaintiffs_plan_c,statewide,median,-14.8053003315309,False
AL,plaintiffs_plan_d,01,competitive,0.0,False
AL,plaintiffs_plan_d,01,pvi,-55.2697648283908,False
AL,plaintiffs_plan_d,01,vap_race_white,75.47,False
AL,plaintiffs_plan_d,01,vap_race_black,14.49,False
AL,plaintiffs_plan_d,01,vap_race_hispanic,4.01,False
AL,plaintiffs_plan_d,01,vap_race_asian,1.52,False
AL,plaintiffs_plan_d,01,vap_race_other,4.51,False
AL,plaintiffs_plan_d,02,competitive,0.0,False
AL,plaintiffs_plan_d,02,pvi,8.57644823766765,False
AL,plaintiffs_plan_d,02,vap_race_white,43.56,False
AL,plaintiffs_plan_d,02,vap_race_black,48.71,False
AL,plaintiffs_plan_d,02,vap_race_hispanic,2.68,False
AL,plaintiffs_plan_d,02,vap_race_asian,1.71,False
AL,plaintiffs_plan_d,02,vap_race_other,3.34,False
AL,plaintiffs_plan_d,03,competitive,0.0,False
AL,plaintiffs_plan_d,03,pvi,-39.6500871399781,False
AL,plaintiffs_plan_d,03,vap_race_white,67.78,False
AL,plaintiffs_plan_d,03,vap_race_black,23.05,False
AL,plaintiffs_plan_d,03,vap_race_hispanic,3.98,False
AL,plaintiffs_plan_d,03,vap_race_asian,1.78,False
AL,plaintiffs_plan_d,03,vap_race_other,3.41,False
AL,plaintiffs_plan_d,04,competitive,0.0,False
AL,plaintiffs_plan_d,04,pvi,-63.8292123045523,False
AL,plaintiffs_plan_d,04,vap_race_white,82.63,False
AL,plaintiffs_plan_d,04,vap_race_black,8.01,False
AL,plaintiffs_plan_d,04,vap_race_hispanic,4.66,False
AL,plaintiffs_plan_d,04,vap_race_asian,0.54,False
AL,plaintiffs_plan_d,04,vap_race_other,4.16,False
AL,plaintiffs_plan_d,05,competitive,0.0,False
AL,plaintiffs_plan_d,05,pvi,-35.869561184546,False
AL,plaintiffs_plan_d,05,vap_race_white,71.62,False
AL,plaintiffs_plan_d,05,vap_race_black,14.95,False
AL,plaintiffs_plan_d,05,vap_race_hispanic,6.5,False
AL,plaintiffs_plan_d,05,vap_race_asian,1.87,False
AL,plaintiffs_plan_d,05,vap_race_other,5.06,False
AL,plaintiffs_plan_d,06,competitive,0.0,False
AL,plaintiffs_plan_d,06,pvi,-42.2828567274363,False
AL,plaintiffs_plan_d,06,vap_race_white,75.58,False
AL,plaintiffs_plan_d,06,vap_race_black,14.58,False
AL,plaintiffs_plan_d,06,vap_race_hispanic,3.93,False
AL,plaintiffs_plan_d,06,vap_race_asian,2.32,False
AL,plaintiffs_plan_d,06,vap_race_other,3.59,False
AL,plaintiffs_plan_d,07,competitive,0.0,False
AL,plaintiffs_plan_d,07,pvi,20.9748727280443,False
AL,plaintiffs_plan_d,07,vap_race_white,41.82,False
AL,plaintiffs_plan_d,07,vap_race_black,50.55,False
AL,plaintiffs_plan_d,07,vap_race_hispanic,4.08,False
AL,plaintiffs_plan_d,07,vap_race_asian,0.99,False
AL,plaintiffs_plan_d,07,vap_race_other,2.57,False
AL,plaintiffs_plan_d,statewide,efficiency_gap,3.99254494826835,False
AL,plaintiffs_plan_d,statewide,median,-10.0557071399781,False
AR,117,01,competitive,0.0,False
AR,117,01,pvi,-43.29444,False
AR,117,02,competitive,0.0,False
AR,117,02,pvi,-13.74737,False
AR,117,03,competitive,0.0,False
AR,117,03,pvi,-32.54647,False
AR,117,04,competitive,0.0,False
AR,117,04,pvi,-40.58274,False
AR,117,statewide,efficiency_gap,-21.5754289076541,False
