year,congress,ST,ST#,seat,is_GOP,PVI,metric
2010,112,CA,CA48,R,1,R+6,0.53
2010,112,CA,CA49,R,1,R+10,0.55
2010,112,CA,CA50,R,1,R+3,0.515
2010,112,CA,CA51,D,0,D+8,0.46
2010,112,CA,CA52,R,1,R+9,0.545
2010,112,CA,CA53,D,0,D+14,0.43
2010,112,CO,CO1,D,0,D+21,0.395
2010,112,CO,CO2,D,0,D+11,0.445
2010,112,CO,CO3,R,1,R+5,0.525
2010,112,CO,CO4,R,1,R+6,0.53
2010,112,CO,CO5,R,1,R+14,0.57
2010,112,CO,CO6,R,1,R+8,0.54
2010,112,CO,CO7,D,0,D+4,0.48
2010,112,CT,CT1,D,0,D+13,0.435
2010,112,CT,CT2,D,0,D+6,0.47
2010,112,CT,CT3,D,0,D+9,0.455
2010,112,CT,CT4,D,0,D+5,0.475
2010,112,CT,CT5,D,0,D+2,0.49
2010,112,DE,DEAL,D,0,D+7,0.465
2010,112,FL,FL1,R,1,R+21,0.605
2010,112,FL,FL2,R,1,R+6,0.53
2010,112,FL,FL3,D,0,D+18,0.41
2010,112,FL,FL4,R,1,R+17,0.585
2010,112,FL,FL5,R,1,R+9,0.545
2010,112,FL,FL6,R,1,R+10,0.55
2010,112,FL,FL7,R,1,R+7,0.535
2010,112,FL,FL8,R,1,R+2,0.51
2010,112,FL,FL9,R,1,R+6,0.53
2010,112,FL,FL10,R,1,R+1,0.505
2010,112,FL,FL11,D,0,D+11,0.445
2010,112,FL,FL12,R,1,R+6,0.53
2010,112,FL,FL13,R,1,R+6,0.53
2010,112,FL,FL14,R,1,R+11,0.555
2010,112,FL,FL15,R,1,R+6,0.53
2010,112,FL,FL16,R,1,R+5,0.525
2010,112,FL,FL17,D,0,D+34,0.33
2010,112,FL,FL18,R,1,R+3,0.515
2010,112,FL,FL19,D,0,D+15,0.425
2010,112,FL,FL20,D,0,D+13,0.435
2010,112,FL,FL21,R,1,R+5,0.525
2010,112,FL,FL22,R,1,D+1,0.495
2010,112,FL,FL23,D,0,D+28,0.36
2010,112,FL,FL24,R,1,R+4,0.52
2010,112,FL,FL25,R,1,R+5,0.525
2010,112,GA,GA1,R,1,R+16,0.58
2010,112,GA,GA2,D,0,D+1,0.495
2010,112,GA,GA3,R,1,R+19,0.595
2010,112,GA,GA4,D,0,D+24,0.38
2010,112,GA,GA5,D,0,D+26,0.37
2010,112,GA,GA6,R,1,R+19,0.595
2010,112,GA,GA7,R,1,R+16,0.58
2010,112,GA,GA8,R,1,R+10,0.55
2010,112,GA,GA9,R,1,R+28,0.64
2010,112,GA,GA10,R,1,R+15,0.575
2010,112,GA,GA11,R,1,R+20,0.6
2010,112,GA,GA12,D,0,D+1,0.495
2010,112,GA,GA13,D,0,D+15,0.425
2010,112,HI,HI1,D,0,D+11,0.445
2010,112,HI,HI2,D,0,D+14,0.43
2010,112,ID,ID1,R,1,R+18,0.59
2010,112,ID,ID2,R,1,R+17,0.585
2010,112,IL,IL1,D,0,D+34,0.33
2010,112,IL,IL2,D,0,D+36,0.32
2010,112,IL,IL3,D,0,D+11,0.445
2010,112,IL,IL4,D,0,D+32,0.34
2010,112,IL,IL5,D,0,D+19,0.405
2010,112,IL,IL6,R,1,R+0,0.5
2010,112,IL,IL7,D,0,D+35,0.325
2010,112,IL,IL8,R,1,R+1,0.505
2010,112,IL,IL9,D,0,D+20,0.4
2010,112,IL,IL10,R,1,D+6,0.47
2010,112,IL,IL11,R,1,R+1,0.505
2010,112,IL,IL12,D,0,D+3,0.485
2010,112,IL,IL13,R,1,R+1,0.505
2010,112,IL,IL14,R,1,R+1,0.505
2010,112,IL,IL15,R,1,R+6,0.53
2010,112,IL,IL16,R,1,R+2,0.51
2010,112,IL,IL17,R,1,D+3,0.485
2010,112,IL,IL18,R,1,R+6,0.53
2010,112,IL,IL19,R,1,R+9,0.545
2010,112,IN,IN1,D,0,D+8,0.46
2010,112,IN,IN2,D,0,R+2,0.51
2010,112,IN,IN3,R,1,R+14,0.57
2010,112,IN,IN4,R,1,R+14,0.57
2010,112,IN,IN5,R,1,R+17,0.585
2010,112,IN,IN6,R,1,R+10,0.55
2010,112,IN,IN7,D,0,D+14,0.43
2010,112,IN,IN8,R,1,R+8,0.54
2010,112,IN,IN9,R,1,R+6,0.53
2010,112,IA,IA1,D,0,D+5,0.475
2010,112,IA,IA2,D,0,D+7,0.465
2010,112,IA,IA3,D,0,D+1,0.495
2010,112,IA,IA4,R,1,R+0,0.5
2010,112,IA,IA5,R,1,R+9,0.545
2010,112,KS,KS1,R,1,R+23,0.615
2010,112,KS,KS2,R,1,R+9,0.545
2010,112,KS,KS3,R,1,R+3,0.515
2010,112,KS,KS4,R,1,R+14,0.57
2010,112,KY,KY1,R,1,R+15,0.575
2010,112,KY,KY2,R,1,R+15,0.575
2010,112,KY,KY3,D,0,D+2,0.49
