year,congress,ST,ST#,PVI,metric
2022.0,118.0,MN,MN5,D+28,0.22
2022.0,118.0,MN,MN3,D+7,0.43
2022.0,118.0,MN,MN2,D+0,0.5
2022.0,118.0,MN,MN4,D+16,0.34
2022.0,118.0,MN,MN1,R+7,0.57
2022.0,118.0,MS,MS1,R+18,0.68
2022.0,118.0,MS,MS2,D+11,0.39
2022.0,118.0,MS,MS3,R+14,0.64
2022.0,118.0,MS,MS4,R+21,0.71
2022.0,118.0,MT,MT1,R+5,0.55
2022.0,118.0,MT,MT2,R+15,0.65
2022.0,118.0,NC,NC2,D+12,0.38
2022.0,118.0,NC,NC14,D+6,0.44
2022.0,118.0,NC,NC1,D+3,0.47
2022.0,118.0,NC,NC12,D+13,0.37
2022.0,118.0,NC,NC11,R+7,0.57
2022.0,118.0,NC,NC10,R+21,0.71
2022.0,118.0,NC,NC13,R+1,0.51
2022.0,118.0,NC,NC8,R+19,0.69
2022.0,118.0,NC,NC7,R+8,0.58
2022.0,118.0,NC,NC6,D+4,0.46
2022.0,118.0,NC,NC5,R+12,0.62
2022.0,118.0,NC,NC4,D+15,0.35
2022.0,118.0,NC,NC3,R+14,0.64
2022.0,118.0,NC,NC9,R+5,0.55
,,ND,NDAL,R+20,0.7
2022.0,118.0,NE,NE1,R+9,0.59
2022.0,118.0,NE,NE2,R+1,0.51
2022.0,118.0,NE,NE3,R+28,0.78
2022.0,118.0,NJ,NJ10,D+29,0.21
2022.0,118.0,NJ,NJ12,D+15,0.35
2022.0,118.0,NJ,NJ11,D+5,0.45
2022.0,118.0,NJ,NJ9,D+8,0.42
2022.0,118.0,NJ,NJ4,R+14,0.64
2022.0,118.0,NJ,NJ7,R+2,0.52
2022.0,118.0,NJ,NJ3,D+4,0.46
2022.0,118.0,NJ,NJ2,R+5,0.55
2022.0,118.0,NJ,NJ1,D+10,0.4
2022.0,118.0,NJ,NJ6,D+8,0.42
2022.0,118.0,NJ,NJ8,D+23,0.27
2022.0,118.0,NJ,NJ5,D+3,0.47
2022.0,118.0,NM,NM1,D+6,0.44
2022.0,118.0,NM,NM2,D+2,0.48
2022.0,118.0,NM,NM3,D+2,0.48
2022.0,118.0,NV,NV1,D+2,0.48
2022.0,118.0,NV,NV2,R+7,0.57
2022.0,118.0,NV,NV3,D+1,0.49
2022.0,118.0,NV,NV4,D+3,0.47
2022.0,118.0,NY,NY17,D+5,0.45
2022.0,118.0,NY,NY18,D+1,0.49
2022.0,118.0,NY,NY19,D+2,0.48
2022.0,118.0,NY,NY20,D+6,0.44
2022.0,118.0,NY,NY25,D+8,0.42
2022.0,118.0,NY,NY23,R+13,0.63
2022.0,118.0,NY,NY16,D+18,0.32
2022.0,118.0,NY,NY26,D+10,0.4
2022.0,118.0,NY,NY21,R+11,0.61
2022.0,118.0,NY,NY15,D+36,0.14
2022.0,118.0,NY,NY24,R+12,0.62
2022.0,118.0,NY,NY13,D+38,0.12
2022.0,118.0,NY,NY1,D+3,0.47
2022.0,118.0,NY,NY14,D+25,0.25
2022.0,118.0,NY,NY2,R+10,0.6
2022.0,118.0,NY,NY3,D+5,0.45
2022.0,118.0,NY,NY4,D+4,0.46
2022.0,118.0,NY,NY5,D+32,0.18
2022.0,118.0,NY,NY22,D+6,0.44
2022.0,118.0,NY,NY7,D+32,0.18
2022.0,118.0,NY,NY8,D+27,0.23
